title,genres,actors,director
Wristcutters: A Love Story,Comedy Drama Fantasy Romance,Patrick Fugit Shannyn Sossamon Shea Whigham,Goran Dukic
I Origins,Science Fiction Drama,Michael Pitt Brit Marling Astrid Bergès-Frisbey,Mike Cahill
The Battle of Shaker Heights,Comedy Drama Romance,Shia LaBeouf Elden Henson Amy Smart,Kyle Rankin
Jagal,Documentary,Anwar Congo Herman Koto Syamsul Arifin,Joshua Oppenheimer
Taxi to the Dark Side,Documentary,Brian Keith Allen Moazzam Begg Christopher Beiring,Alex Gibney
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary,Pelé Franz Beckenbauer Carlos Alberto,Paul Crowder
Guiana 1838,Drama,Aasheekaa Bathija Thomas Garvey Kumar Gaurav,Rohit Jagessar
Lisa Picard Is Famous,,Laura Kirk Nat DeWolf Griffin Dunne,Griffin Dunne
Antarctica: A Year on Ice,Drama Adventure Documentary,Genevieve Bachman William Brotman Michael Christiansen,Anthony Powell
A LEGO Brickumentary,Documentary,Jason Bateman Matthias Klie,Kief Davidson
Hardflip,Drama Action,Randy Wayne John Schneider Rosanna Arquette,Johnny Remo
Chocolate: Deep Dark Secrets,Thriller,Anil Kapoor Sunil Shetty Arshad Warsi,Vivek Agnihotri
The House of the Devil,Mystery Horror,Jocelin Donahue Mary Woronov Greta Gerwig,Ti West
The Perfect Host,Comedy Thriller Crime,David Hyde Pierce Clayne Crawford Nathaniel Parker,Nick Tomnay
Safe Men,Comedy Crime,Sam Rockwell Steve Zahn Paul Giamatti,John Hamburg
Speedway Junky,Romance Drama Crime,Jesse Bradford Jordan Brower Jonathan Taylor Thomas,Nickolas Perry
The Last Big Thing,Comedy Drama,Dan Zukovic Mark Ruffalo Sibel Ergener,Dan Zukovic
The Specials,Action Comedy,Jordan Ladd Rob Lowe Jamie Kennedy,Craig Mazin
16 to Life,Comedy Romance,Hallee Hirsh Theresa Russell Shiloh Fernandez,Becky Smith
Alone With Her,Crime Drama Romance Thriller,Colin Hanks Ana Claudia Talancón Jordana Spiro,Eric Nicholas
Creative Control,Drama Science Fiction,Benjamin Dickinson Nora Zehetner Dan Gill,Benjamin Dickinson
Special,Drama Fantasy Science Fiction,Michael Rapaport Josh Peck Robert Baker,Hal Haberman
Sparkler,,Park Overall Veronica Cartwright Freddie Prinze Jr.,Darren Stein
The Helix... Loaded,Action Comedy Science Fiction,,
In Her Line of Fire,Drama Action Thriller,Mariel Hemingway David Keith David Millbern,Brian Trenchard-Smith
The Jimmy Show,Comedy Drama,Frank Whaley Carla Gugino Ethan Hawke,Frank Whaley
Heli,Crime Drama,Armando Espitia Andrea Vergara Linda Gonzalez,Amat Escalante
Karachi se Lahore,Family Comedy,Shehzad Sheikh Ayesha Omar Yasir Hussain,
Loving Annabelle,Drama Romance,Erin Kelly Diane Gaidry Laura Breckenridge,Katherine Brooks
Hits,Drama Comedy,Meredith Hagner Matt Walsh James Adomian,David Cross
Jimmy and Judy,Action Crime Drama Thriller,Edward Furlong Rachael Bella William Sadler,Randall Rubin
Frat Party,Comedy Romance,Randy Wayne Caroline D'Amore Jareb Dauplaise,Robert Bennett
The Party's Over,Drama,Oliver Reed Clifford David Ann Lynn,Guy Hamilton
Proud,Drama,Vernel Bagneris Marcus Chait Michael Ciesla,Mary Pat Kelly
The Poker House,Drama,Jennifer Lawrence Selma Blair Bokeem Woodbine,Lori Petty
Childless,,Barbara Hershey Joe Mantegna Diane Venora,Charlie Levi
ZMD: Zombies of Mass Destruction,Horror,Janette Armand Doug Fahl Cooper Hopkins,Kevin Hamedani
Snow White: A Deadly Summer,Horror Thriller,Shanley Caswell Maureen McCormick Eric Roberts,David DeCoteau
A escondidas,Romance Drama,Germán Alcarazu Adil Koukouh Ana Wagener,Mikel Rueda
My Last Day Without You,Comedy Drama Romance,Ken Duken Nicole Beharie Reg E. Cathey,Stefan C. Schaefer
Steppin: The Movie,Comedy Romance,Wesley Jonathan Chrystee Pharris Anthony Anderson,Michael Taliferro
Doc Holliday's Revenge,Western,Tom Berenger Ashley Hayes Eric Roberts,David DeCoteau
Black Rock,Thriller Horror,Kate Bosworth Lake Bell Jay Paulson,Katie Aselton
Truth or Dare,Horror Thriller Mystery,Liam Boyle Jack Gordon Florence Hall,Robert Heath
The Pet,Drama Thriller,Pierre Dulat Andrea Edmondson Summer Nguyen,D. Stevens
Bang Bang Baby,Science Fiction Drama Music,Jane Levy Peter Stormare Justin Chatwin,Jeffrey St. Jules
Fear Clinic,Horror,Thomas Dekker Robert Englund Cleopatra Coleman,Robert Hall
Zombie Hunter,Comedy Action Science Fiction Thriller,Martin Copping Danny Trejo Clare Niederpruem,Kevin King
A Fine Step,Drama,Luke Perry Anna Claire Sneed Leonor Varela,Jonathan Meyers
Charly,Drama Romance Science Fiction,Cliff Robertson Claire Bloom Lilia Skala,Ralph Nelson
Banshee Chapter,Horror Thriller,Ted Levine Katia Winter Michael McMillian,Blair Erickson
Ask Me Anything,Drama Mystery Thriller,Britt Robertson Christian Slater Justin Long,Allison Burnett
And Then Came Love,Comedy Romance,Kevin Daniels Michael Boatman Jeremy Gumbs,Richard Schenkman
Food Chains,Documentary,,Sanjay Rawal
On the Waterfront,Crime Drama,Marlon Brando Karl Malden Lee J. Cobb,Elia Kazan
L!fe Happens,Comedy,Krysten Ritter Kate Bosworth Rachel Bilson,Kat Coiro
"4 luni, 3 săptămîni și 2 zile",Drama,Anamaria Marinca Laura Vasiliu Vlad Ivanov,Cristian Mungiu
The Horror Network Vol. 1,Horror,Nick Frangione Artem Mishin Jan Cornet,Joseph Graham
Hard Candy,Drama Thriller,Patrick Wilson Ellen Page Sandra Oh,David Slade
The Quiet,Drama Thriller,Elisha Cuthbert Camilla Belle Edie Falco,Jamie Babbit
Circumstance,Drama,Nikohl Boosheri Sarah Kazemy Reza Sixo Safai,Maryam Keshavarz
Fruitvale Station,Drama,Michael B. Jordan Octavia Spencer Melonie Diaz,Ryan Coogler
The Brass Teapot,Comedy Fantasy Thriller,Juno Temple Michael Angarano Alexis Bledel,Ramaa Mosley
Bambi,Animation Drama Family,Donnie Dunagan Peter Behn Stan Alexander,David Hand
The Hammer,Comedy,Adam Carolla Oswaldo Castillo Harold House Moore,Charles Herman-Wurmfeld
Latter Days,Drama Comedy Romance,Steve Sandvoss Wes Ramsey Jacqueline Bisset,C. Jay Cox
Le bonheur d'Elza,Drama,Stana Roumillac Vincent Byrd Le Sage Christophe Cherki,Mariette Monpierre
1982,Drama,Bokeem Woodbine Sharon Leal Wayne Brady,Tommy Oliver
"For a Good Time, Call...",Comedy,Ari Graynor Lauren Miller Mark Webber,Jamie Travis
Celeste & Jesse Forever,Comedy Drama Romance,Rashida Jones Andy Samberg Elijah Wood,Lee Toland Krieger
Time Changer,Comedy Drama Family Science Fiction,D. David Morin Gavin MacLeod Hal Linden,Rich Christiano
London to Brighton,Crime Drama Thriller,Georgia Groome Johnny Harris Sam Spruell,Paul Andrew Williams
American Hero,Action Comedy Science Fiction,Stephen Dorff Eddie Griffin Bill Billions,Nick Love
Windsor Drive,Thriller Mystery,Samaire Armstrong Anna Gurji Matt Cohen,Natalie Bible'
جدایی نادر از سیمین,Drama,Leila Hatami Kimia Hosseini Merila Zarei,Asghar Farhadi
Crying with Laughter,Comedy Drama Thriller,Stephen McCole Malcolm Shields Andrew Neil,Justin Molotnikov
Welcome to the Dollhouse,Comedy Drama,Heather Matarazzo Victoria Davis Christina Brucato,Todd Solondz
Ruby in Paradise,Drama Romance,Ashley Judd Todd Field Bentley Mitchum,Victor Nunez
Raising Victor Vargas,Drama Romance,Victor Rasuk Judy Marte Melonie Diaz,Peter Sollett
Die Büchse der Pandora,Drama Thriller Romance,Louise Brooks Fritz Kortner Francis Lederer,G.W. Pabst
Harrison Montgomery,,,
Cama adentro,Drama Foreign,Norma Aleandro Norma Argentina  Marcos Mundstock,Jorge Gaggero
Deterrence,Action Drama Mystery Thriller,Kevin Pollak Timothy Hutton Sheryl Lee Ralph,Rod Lurie
The Mudge Boy,Drama,Emile Hirsch Tom Guiry Richard Jenkins,Michael Burke
The Young Unknowns,Drama,Devon Gummersall Arly Jover Eion Bailey,Catherine Jelski
Not Cool,Comedy,Shane Dawson Cherami Leigh Drew Monson,Shane Dawson
Død snø,Horror Comedy,Charlotte Frogner Stig Frode Henriksen Vegar Hoel,Tommy Wirkola
Saints and Soldiers,Action Adventure Drama History War,Larry Bagby Alexander Polinsky Kirby Heyborne,Ryan Little
Vessel,Horror Science Fiction,Brandon Bales Brandy Maasch Julie Mintz,Clark Baker
American Graffiti,Comedy Drama,Richard Dreyfuss Ron Howard Paul Le Mat,George Lucas
Iraq for Sale: The War Profiteers,Documentary,Shereef Akeel,Robert Greenwald
Aqua Teen Hunger Force Colon Movie Film for Theaters,Animation Comedy,Dana Snyder Carey Means Dave Willis,Dave Willis
Safety Not Guaranteed,Comedy Romance Science Fiction Drama,Aubrey Plaza Mark Duplass Jake Johnson,Colin Trevorrow
Kevin Hart: Laugh at My Pain,Comedy Documentary,Kevin Hart Na'im Lynn,Tim Story
Kill List,Horror Thriller Crime,Neil Maskell MyAnna Buring Harry Simpson,Ben Wheatley
The Innkeepers,Horror Thriller,Sara Paxton Pat Healy Kelly McGillis,Ti West
Il conformista,Drama,Jean-Louis Trintignant Stefania Sandrelli Gastone Moschin,Bernardo Bertolucci
Interview with the Assassin,Drama Thriller,Dylan Haggerty Renee Faia Dennis Lau,Neil Burger
Donkey Punch,Horror Drama Thriller Crime,Nichola Burley Sian Breckin Jaime Winstone,Olly Blackburn
All the Boys Love Mandy Lane,Horror Mystery Thriller,Amber Heard Anson Mount Michael Welch,Jonathan Levine
Bled,Horror,Sarah Farooqui Chris Ivan Cevic Alex Petrovitch,Christopher Hutson
High Noon,Western,Gary Cooper Grace Kelly Thomas Mitchell,Fred Zinnemann
Hoop Dreams,Documentary,William Gates Arthur Agee Steve James,Steve James
Rize,Documentary,Christopher Toler Tommy the Clown Miss Prissy,David LaChapelle
L.I.E. Long Island Expressway,Drama,Paul Dano Bruce Altman Brian Cox,Michael Cuesta
The Sisterhood of Night,Mystery Drama Thriller,Kara Hayward Georgie Henley Olivia DeJonge,Caryn Waechter
B-Girl,Crime Drama Music,Julie 'Jules' Urich Missy Yager Wesley Jonathan,Emily Dell
Half Nelson,Drama,Ryan Gosling Jeff Lima Shareeka Epps,Ryan Fleck
Naturally Native,Drama,Valerie Red-Horse Yvonne Russo Irene Bedard,Valerie Red-Horse
Hav Plenty,Action Comedy Romance Science Fiction Thriller,Christopher Scott Cherot Chenoa Maxwell Tammi Katherine Jones,Christopher Scott Cherot
Adulterers,Thriller Crime Drama,Sean Faris Danielle Savre Mehcad Brooks,H.M. Coakley
Escape from Tomorrow,Horror Fantasy,Roy Abramsohn Elena Schuber Katelynn Rodriguez,Randy Moore
Starsuckers,Documentary Foreign,Ellis Cashmore Max Clifford Richard Curtis,Chris Atkins
The Hadza:  Last of the First,Documentary,,Bill Benenson
After,Mystery Thriller,Steven Strait Karolina Wydra Sandra Ellis Lafferty,Ryan Smith
Treachery,Drama,Matthew Ziff Michael Biehn Sarah Butler,Travis Romero
Walter,Drama Comedy,Andrew J. West Justin Kirk Virginia Madsen,Anna Mastro
Top Hat,Comedy Music Romance,Fred Astaire Ginger Rogers Edward Everett Horton,Mark Sandrich
The Blair Witch Project,Horror Mystery,Michael C. Williams Heather Donahue Joshua Leonard,Daniel Myrick
Woodstock,History Documentary Music,Joe Cocker Richie Havens Joan Baez,Michael Wadleigh
The Kentucky Fried Movie,Comedy,Evan C. Kim Bong Soo Han Marilyn Joi,John Landis
Mercy Streets,Action Adventure Drama,Eric Roberts David A.R. White Cynthia Watros,Jon Gunn
Arnolds Park,Thriller Mystery,Erik Allen Randy Baranczyk Chris Carlson,Gene Teigland
Broken Vessels,Drama,Todd Field Jason London Roxana Zal,Scott Ziehl
Water & Power,Crime Drama,Enrique Murciano Nicholas Gonzalez Clancy Brown,Richard Montoya
They Will Have to Kill Us First,Music Documentary,Aliou Touré Oumar Touré Garba Touré,Johanna Schwartz
Light from the Darkroom,,,
Médecin de campagne,Drama Comedy,François Cluzet Marianne Denicourt Isabelle Sadoyan,Thomas Lilti
The Maid's Room,Thriller,Paula Garcés Annabella Sciorra Bill Camp,Michael Walker
A Hard Day's Night,Comedy Music,John Lennon Paul McCartney George Harrison,Richard Lester
The Harvest (La Cosecha),Documentary,,U. Roberto Romano
Love Letters,Drama Thriller,Jamie Lee Curtis Bonnie Bartlett Matt Clark,Amy Holden Jones
Julija in Alfa Romeo,Comedy Drama,Dario Nožić Serini Jan Gerl Korenc Špela Colja,Blaž Završnik
Fireproof,Drama,Kirk Cameron Erin Bethea Ken Bevel,Alex Kendrick
Faith Connections,Documentary Drama,Bhole Baba Hatha Yogi Baba Pant Shirt Baba,Pan Nalin
Benji,Adventure Family Romance,Patsy Garrett Allen Fiuzat Cynthia Smith,Joe Camp
Open Water,Drama Thriller,Blanchard Ryan Daniel Travis Saul Stein,Chris Kentis
High Road,Comedy,Kathryn Burns Lizzy Caplan Michael Coleman,Matt Walsh
Kingdom of the Spiders,Horror Science Fiction,William Shatner Tiffany Bolling Woody Strode,John 'Bud' Cardos
Mad Hot Ballroom,Documentary Family,,Marilyn Agrelo
The Station Agent,Drama Comedy,Peter Dinklage Patricia Clarkson Bobby Cannavale,Tom McCarthy
To Save A Life,Drama,Randy Wayne Deja Kreutzberg Joshua Weigel,Brian Baugh
Wordplay,Documentary,Will Shortz Merl Reagle Tyler Hinman,Patrick Creadon
Beyond the Mat,Documentary,Mick Foley Terry Funk Vince McMahon,Barry W. Blaustein
The Singles Ward,Comedy Drama Family Romance,Will Swenson Connie Young Daryn Tufts,Kurt Hale
Osama,Drama,Marina Golbahari Arif Herati Zubaida Sahar,Siddiq Barmak
Sholem Aleichem: Laughing In The Darkness,Documentary,Rachel Dratch Hillel Halkin Jason Kravitz,Joseph Dorman
Groove,Drama Music Romance,Hamish Linklater Denny Kirkwood Mackenzie Firgens,Greg Harrison
The R.M.,Comedy Crime Family,Kirby Heyborne,Kurt Hale
Twin Falls Idaho,Drama Romance,Mark Polish Michael Polish Michele Hicks,Michael Polish
Mean Creek,Crime Drama,Rory Culkin Scott Mechlowicz Trevor Morgan,Jacob Aaron Estes
Hurricane Streets,Romance Crime Drama,Brendan Sexton III Antoine McLean Mtume Gant,Morgan J. Freeman
Never Again,Comedy Romance,Jeffrey Tambor Jill Clayburgh Caroline Aaron,Eric Schaeffer
Civil Brand,Crime Drama Thriller,LisaRaye McCoy N'Bushe Wright Monica Calhoun,Neema Barnette
Lonesome Jim,Comedy Drama Romance,Casey Affleck Kevin Corrigan Liv Tyler,Steve Buscemi
Drinking Buddies,Romance Drama,Olivia Wilde Jake Johnson Anna Kendrick,Joe Swanberg
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Documentary,Ricky Jay Dick Cavett Winston Simon,Molly Bernstein
七人の侍,Action Drama,Toshirō Mifune Takashi Shimura Yoshio Inaba,Akira Kurosawa
Kita svajonių komanda,Documentary,Greg Speirs Jim Lampley Bill Walton,Marius Markevicius
Johnny Suede,Comedy Romance,Brad Pitt Calvin Levels Catherine Keener,Tom DiCillo
Finishing The Game,Comedy,Roger Fan Sung Kang Monique Gabriela Curnen,Justin Lin
Rubber,Comedy Drama Fantasy Horror Mystery,Thomas F. Duffy David Bowe Stephen Spinella,Quentin Dupieux
Kiss the Bride,Drama Comedy Romance,Tori Spelling Les Williams,C. Jay Cox
The Slaughter Rule,Drama,Ryan Gosling David Morse Clea DuVall,Alex Smith
Monsters,Drama Thriller Science Fiction,Whitney Able Scoot McNairy Annalee Jefferies,Gareth Edwards
The Californians,Drama Comedy,Noah Wyle Illeana Douglas Kate Mara,Jonathan Parker
The Living Wake,Comedy,Jesse Eisenberg Mike O'Connell Jim Gaffigan,Sol Tryon
Detention of the Dead,Comedy Horror,Jacob Zachar Alexa Nikolas Christa Brittany  Allen,Alex Craig Mann
疯狂的石头,Action Comedy,Guo Tao Liu Hua Liu Gang,Ning Hao
Scott Walker: 30 Century Man,Documentary Music,Scott Walker Damon Albarn David Bowie,Stephen Kijak
Everything Put Together,Drama,Radha Mitchell Megan Mullally Catherine Lloyd Burns,Marc Forster
Good Kill,Action Drama Thriller,Ethan Hawke January Jones Zoë Kravitz,Andrew Niccol
The Outrageous Sophie Tucker,,,William Gazecki
Now Is Good,Drama Romance,Dakota Fanning Jeremy Irvine Kaya Scodelario,Ol Parker
Girls Gone Dead,Horror Comedy,Katie Peterson Shea Stewart Brandy Whitford,Michael Hoffman Jr.
America Is Still the Place,,,
Subconscious,Action Thriller Mystery,Tim Abell Naomi Brockwell Aleisha Force,Georgia Hilton
Enter Nowhere,Mystery Science Fiction Thriller,Katherine Waterston Scott Eastwood Sara Paxton,Jack Heller
El Rey de Najayo,Crime Drama,Manny Pérez Luz Garcia Sergio Carlo,Fernando Baez Mella
Fight to the Finish,Romance Action,Jennifer Hale Evan Hannemann Tonya Kay,Warren Sheppard
Alleluia! The Devil's Carnival,Music Horror,Terrance Zdunich Paul Sorvino Marc Senter,Darren Lynn Bousman
The Sound and the Shadow,Thriller Comedy Mystery,Joseph E. Murray Alex Anfanger Rhomeyn Johnson,Justin Paul Miller
Rodeo Girl,Family,Kevin Sorbo Sophie Bolen Derek Brandon,Joel Paul Reisig
Born to Fly: Elizabeth Streb vs. Gravity,Documentary,Elizabeth Streb Fabio Tavares Sarah Callan,Catherine Gund
The Little Ponderosa Zoo,,,
The Toxic Avenger,Science Fiction Action Comedy Horror,Mitch Cohen Andree Maranda Jennifer Prichard,Lloyd Kaufman
Straight Out of Brooklyn,Drama,,Matty Rich
Bloody Sunday,Action Adventure Drama History,James Nesbitt Allan Gildea Gerard Crossan,Paul Greengrass
Diamond Ruff,,,
Conversations with Other Women,Drama Romance,Helena Bonham Carter Aaron Eckhart Yury Tsykun,Hans Canosa
Poultrygeist: Night of the Chicken Dead,Horror Comedy,Jason Yachanin Kate Graham Allyson Sereboff,Lloyd Kaufman
Mutual Friends,,Caitlin Fitzgerald Cheyenne Jackson Peter Scanavino,Matthew Watts
42nd Street,Music Comedy Romance,Warner Baxter Bebe Daniels George Brent,Lloyd Bacon
Rise of the Entrepreneur: The Search for a Better Way,,,
Metropolitan,Comedy Drama,Edward Clements Chris Eigeman Taylor Nichols,Whit Stillman
Så som i himmelen,Romance Drama Comedy Music,Michael Nyqvist Frida Hallgren Helen Sjöholm,Kay Pollak
Roadside,Horror Drama,Ace Marrero Katie Stegeman,Eric England
Napoleon Dynamite,Comedy,Jon Heder Aaron Ruell Jon Gries,Jared Hess
Blue Ruin,Crime Thriller,Macon Blair Devin Ratray Amy Hargreaves,Jeremy Saulnier
Paranormal Activity,Horror Mystery,Katie Featherston Micah Sloat Mark Fredrichs,Oren Peli
Dogtown and Z-Boys,Documentary,Sean Penn Jay Adams Henry Rollins,Stacy Peralta
Monty Python and the Holy Grail,Adventure Comedy Fantasy,Graham Chapman John Cleese Terry Gilliam,Terry Gilliam
Quinceañera,Drama,Emily Rios Jesse Garcia Chalo González,Richard Glatzer
Gory Gory Hallelujah,,,Sue Corcoran
Tarnation,Documentary Drama,Renee Leblanc Adolph Davis Jonathan Caouette,Jonathan Caouette
I Want Your Money,Documentary,,
Love in the Time of Monsters,Horror Comedy,Kane Hodder Doug Jones Gena Shaw,Matt Jackson
...E tu vivrai nel terrore! L'aldilà,Horror,Catriona MacColl David Warbeck Cinzia Monreale,Lucio Fulci
What Happens in Vegas,Comedy Romance,Ashton Kutcher Cameron Diaz Lake Bell,Tom Vaughan
The Dark Hours,Horror Science Fiction Thriller,Kate Greenhouse Aidan Devine Gordon Currie,Paul Fox
My Beautiful Laundrette,Romance Drama Comedy,Gordon Warnecke Daniel Day-Lewis Roshan Seth,Stephen Frears
Fabled,Drama Mystery Thriller,,
Show Me,Drama Thriller,Michelle Nolden Katharine Isabelle Kett Turton,Cassandra Nicolaou
Viskningar och rop,Drama,Harriet Andersson Ingrid Thulin Kari Sylwan,Ingmar Bergman
Intolerance,Drama,Lillian Gish Mae Marsh Robert Harron,D.W. Griffith
Trekkies,Documentary,Denise Crosby Barbara Adams Majel Barrett,Roger Nygard
The Broadway Melody,Drama Music Romance,Charles King Anita Page Bessie Love,Harry Beaumont
The Evil Dead,Horror,Bruce Campbell Ellen Sandweiss Richard DeManincor,Sam Raimi
Maniac,Horror,Elijah Wood America Olivo Nora Arnezeder,Franck Khalfoun
Censored Voices,History Documentary,Amos Oz,Mor Loushy
Murderball,Documentary,Joe Bishop Keith Cavill Andy Cohn,Henry Alex Rubin
American Ninja 2: The Confrontation,Action Adventure Drama,Michael Dudikoff Steve James Larry Poindexter,Sam Firstenberg
51 Birch Street,Documentary,Carol Block Doug Block Ellen Block,Doug Block
Rotor DR1,Science Fiction Family,Christian Kapper Natalie Welch Tom E. Nicholson,Chad Kapper
12 Angry Men,Drama,Henry Fonda Martin Balsam John Fiedler,Sidney Lumet
My Dog Tulip,Animation Comedy Drama,Christopher Plummer Lynn Redgrave Isabella Rossellini,Paul Fierlinger
It Happened One Night,Comedy Romance,Clark Gable Claudette Colbert Walter Connolly,Frank Capra
Κυνόδοντας,Drama,Hristos Passalis Angeliki Papoulia Mary Tsoni,Yorgos Lanthimos
Tupac: Resurrection,Music Documentary,Tupac Amaru Shakur,Lauren Lazin
Tumbleweeds,Comedy Drama,Janet McTeer Kimberly J. Brown Jennifer Paige,Gavin O'Connor
The Prophecy,Fantasy Horror Thriller,Christopher Walken Elias Koteas Virginia Madsen,Gregory Widen
